,Topic_0,Topic_1,Topic_2,Topic_3
ctx_rh_inferiortemporal,1.4186119056189763,1.0491707052078914,0.9669820544437254,1.2946558951171574
ctx_rh_isthmuscingulate,1.0553980938988183,0.8237937817552236,0.7180198143906117,0.9632246748271629
ctx_rh_lateraloccipital,1.0767206824322944,0.856266637818232,0.7874802637157874,1.0210470868693777
ctx_rh_lateralorbitofrontal,1.1866614295173654,0.989806918783982,0.9590786519715059,1.1640448990638814
ctx_rh_lingual,0.9087464139609249,0.6970606401956047,0.7159216585252751,0.844498365628133
ctx_rh_medialorbitofrontal,1.0813908342450396,0.8148266708909748,0.8634775876496743,1.053096690941855
ctx_rh_middletemporal,1.3431173683299584,1.0111588605188813,0.9412453324210845,1.2010664971481306
ctx_rh_parahippocampal,1.161233241215764,0.825508540563954,0.7002108902516737,1.025902512164351
ctx_rh_paracentral,1.1134279168382324,0.8298820671874094,0.9092594400189392,1.03701681655036
ctx_rh_parsopercularis,1.0739253031436473,0.8540903188404755,0.8659761011763923,1.0142969251059477
ctx_rh_parsorbitalis,1.091220571561748,0.9221885403162698,0.8810130267263974,1.0571696702667948
ctx_rh_parstriangularis,0.9905254022337057,0.815479665470752,0.8796368703804323,0.9998974768871044
ctx_rh_pericalcarine,0.6604944003426796,0.5567027818787079,0.5740636864045751,0.6495475968579512
ctx_rh_postcentral,0.9098218517272504,0.713116005564839,0.7121584297151465,0.8281030850300636
ctx_rh_posteriorcingulate,1.121244259929052,0.8952903298355736,0.8643245642732382,1.0577793127377417
ctx_rh_precentral,1.1388653190685272,0.9481352321880748,0.9316666845511032,1.0987392576194293
ctx_rh_precuneus,1.0944422778373124,0.764120195225086,0.7879796405687184,0.9960026201406358
ctx_rh_rostralanteriorcingulate,1.2022677504679025,0.8843114904206796,0.9124690182704355,1.0607122989875974
ctx_rh_rostralmiddlefrontal,1.0216527373899191,0.8681880608266037,0.8748845733992042,1.0645036004057464
ctx_rh_superiorfrontal,1.213861610482859,1.0153383869973498,0.9910437921028953,1.228663582616708
ctx_rh_superiorparietal,1.0244935408342448,0.7525118428562291,0.7588305206953568,0.9084646650789265
ctx_rh_superiortemporal,1.3915892670748828,0.9232690110555419,0.9348473152593365,1.2322544940485423
ctx_rh_supramarginal,1.126943609601016,0.9003290616118433,0.8260553640466584,1.0604544434382932
ctx_rh_transversetemporal,0.8869348020656255,0.7242890972619173,0.6774475202444781,0.8047223488837847
ctx_rh_insula,1.4133440689973549,1.046392432195153,0.985767772790388,1.292307411622874
