,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
ctx_rh_lateralorbitofrontal,1.0625601958184634,1.0441840250356584,0.9954836959893096,1.0870555197906198,1.075285950003415,0.33468866891712884
ctx_rh_lingual,1.0662159367326876,1.0505968127824175,0.9923553490420708,1.0817895565157067,1.079864332193877,0.4320666720632456
ctx_rh_medialorbitofrontal,0.9836335011456409,0.9543256172914835,0.9312877905524458,1.0223297730976932,0.969199789337937,0.36334593714568336
ctx_rh_middletemporal,1.3786515342965604,1.367037986977869,1.2973053316419665,1.4186454538095215,1.3803097191387532,0.49485408047336
ctx_rh_parahippocampal,0.9303547510171315,0.9055531220129733,0.8532192709130237,0.9381439498675015,0.9125339196580492,0.37248394602829976
ctx_rh_paracentral,0.8476444915903782,0.8135419426996252,0.805977205661877,0.8649475234958329,0.8508205274349357,0.2919935094381787
ctx_rh_parsopercularis,0.9381955740943332,0.944578913857623,0.9361069774486986,0.9671032451102355,0.9735718752435636,0.4426627308722834
ctx_rh_parsorbitalis,0.7241944577990855,0.6995750327206273,0.6935819970136231,0.7455263344534078,0.7155139877501648,0.2455559890646746
ctx_rh_parstriangularis,0.8474807649679708,0.8571576875469762,0.8433246573148455,0.8569586670039702,0.8426955548292053,0.35586364954091915
ctx_rh_pericalcarine,0.7720861610066323,0.7392640822471154,0.7217298196642432,0.7953363990824597,0.75835713946725,0.31573158017820663
ctx_rh_postcentral,0.8375886449451745,0.8217582377174794,0.8081385263078738,0.8420815407809837,0.844428705591338,0.3056504175481495
ctx_rh_posteriorcingulate,0.9568197292701202,0.976009040127504,0.9079480248577209,0.9457774856864103,0.9991314540174857,0.22893810198547768
ctx_rh_precentral,0.8719116114427884,0.8624261214190704,0.8309534996183263,0.8433567345968243,0.8504327405530108,0.2489431265518823
ctx_rh_precuneus,1.104028620751325,1.1198861455262161,1.0519117107324034,1.172696613252977,1.1682395446504716,0.3336234036032899
ctx_rh_rostralanteriorcingulate,0.5929623923187646,0.5440915802257823,0.5330387430717378,0.5906596259235681,0.596672693152198,0.19851428871096066
ctx_rh_rostralmiddlefrontal,1.1240014109629988,1.0424802311186723,1.0276163970601164,1.1103236856190812,1.075460433241396,0.3499045609594074
ctx_rh_superiorfrontal,1.017504631962701,0.9705583461759274,0.9401567626694116,1.0284893872288643,1.0153817682861122,0.25066700590993285
ctx_rh_superiorparietal,0.9372879273292489,0.9010894146327555,0.8610722190908199,0.9755393252149867,0.9383669702857738,0.2777838641903688
ctx_rh_superiortemporal,1.113018396864982,1.0873858031257264,1.0379379856714963,1.139704957819337,1.145567675747065,0.366359121347608
ctx_rh_supramarginal,0.9478723700980192,0.9529364638613639,0.928117410863075,0.9790904201272154,0.9451158435552037,0.2862009697160589
ctx_rh_transversetemporal,0.680140729858782,0.6759969390194555,0.6253196069758689,0.6615921948571201,0.6926433102332111,0.352588994126459
ctx_rh_insula,1.118923728976235,1.0663048116989218,1.0488718010208706,1.0901631476466123,1.101375706010439,0.35257940554971495
