,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
ctx_lh_lingual,0.004918645685132921,0.00475197555221911,0.004515066167193692,0.004373791331599914,0.0047916594355739694,0.003973439127852451,0.1410468032538591,0.005446706010658528,0.005114993754005296,0.0038631717185852376
ctx_lh_medialorbitofrontal,0.004918682297058907,0.004752028928240975,0.004515063617430397,0.0043737142040500675,0.004791729505288811,0.003973534939238361,0.004217027385205818,0.10701060362072996,0.005114950198408067,0.0038632363160802543
ctx_lh_middletemporal,0.10560019796831298,0.004752177752404618,0.0045151135911304175,0.004373760060451784,0.0047917735804162845,0.003973534338357273,0.004217111297687632,0.005446760327034545,0.005114909683410693,0.0038632780232408528
ctx_lh_parahippocampal,0.004918431402913534,0.004751791977242756,0.26790251048405506,0.0043734907067622415,0.004791463073870932,0.003973292572873759,0.004216861947100952,0.005446378025469719,0.00511460966431758,0.003863022121902247
ctx_lh_paracentral,0.004918435592969593,0.004751798233149014,0.004514874863405947,0.004373637632009636,0.004791460234678076,0.003973373258824669,0.004216900211265666,0.005446509209967384,0.15722710206116017,0.003863064064165259
ctx_lh_parsopercularis,0.004918859030887406,0.0047520741449677065,0.10374715427647015,0.004373826087937294,0.004791824778723074,0.0039735520285870424,0.004217108541862245,0.005446867864413705,0.005114962868447764,0.0038632478650931323
ctx_lh_parsorbitalis,0.004918940650505015,0.004752135677379226,0.004515143973750464,0.004373852515769993,0.00479193513095413,0.1188662555331641,0.004217160274544816,0.005446859953854657,0.005115040606824761,0.0038632771599555853
ctx_lh_parstriangularis,0.004918835305422779,0.004752066862874167,0.004515067541391184,0.004373853813373145,0.0047918059946326285,0.003973525663472573,0.13049230088495836,0.005446837690411168,0.005114918579635703,0.003863304918432502
ctx_lh_pericalcarine,0.004918858555209241,0.004752149566422312,0.004515196588614004,0.004373852113351183,0.004792015065480028,0.00397363797251609,0.11862549190622233,0.005446976848711799,0.005115111770181332,0.0038632264239314997
ctx_lh_postcentral,0.004918807048597258,0.09668576077477517,0.004515217035872083,0.004373861150942549,0.004791901715175487,0.003973626646077863,0.004217150380020742,0.005447078628025723,0.00511508210014449,0.0038632971098792527
